CODGEO,taux_equipement_ve,total_pdc,puissance_moyenne,puissance_max,nb_operateurs,pct_combo_ccs,pct_paiement_cb,pct_paiement_autre,pct_charge_rapide,top_operateur,prive,public,rapide,voirie,Libellé géographique,[DISP] Médiane (€),[DISP] Nbre de personnes dans les ménages fiscaux
50391,0.016631280962491155,16.0,22.0,22.0,2.0,0.0,0.0,1.0,0.0,Zunder (Grupo Easycharger S.A),0.0,0.0,0.5,0.5,,,
50393,0.026096411743385284,8.0,22.0,22.0,2.0,0.0,0.0,1.0,0.0,Zunder (Grupo Easycharger S.A),0.0,0.0,0.5,0.5,,,
50394,0.022168480451430876,72.0,59.596666666666664,320.0,4.0,0.5833333333333334,0.5,1.0,0.3333333333333333,DRIVECO,0.0,0.3333333333333333,0.5,0.16666666666666666,,,
50395,0.018404907975460124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
50397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
50398,0.02030456852791878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
50399,0.009852216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
50400,0.017204301075268817,8.0,22.0,22.0,2.0,0.0,0.0,1.0,0.0,Zunder (Grupo Easycharger S.A),0.0,0.0,0.5,0.5,,,
50401,0.036101083032490974,8.0,22.0,22.0,2.0,0.0,0.0,1.0,0.0,Zunder (Grupo Easycharger S.A),0.0,0.0,0.5,0.5,,,
50402,0.05610738255033557,16.0,22.0,22.0,2.0,0.0,0.0,1.0,0.0,Zunder (Grupo Easycharger S.A),0.0,0.0,0.5,0.5,,,
50405,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
50407,0.04521739130434783,53.0,95.14285714285714,150.0,4.0,0.5714285714285714,0.0,1.0,0.5714285714285714,Atlante France,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,,,
50408,0.028286189683860232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,0.0,0.0,0.0,0.0,,,
50409,0.027576853526220614,9.0,22.0,22.0,3.0,0.0,0.3333333333333333,1.0,0.0,Zunder (Grupo Easycharger S.A),0.2,0.0,0.4,0.4,,,
